TITLE = 'Cavity Iterative Residual History'
variables='Iteration''Time(s)''Res1''Res2''Res3'
1350 0.37078857421875006 [200.62020471] [0.45020762] [1.16063335]
1360 0.37353515625000006 [200.59846604] [0.45548982] [0.85465999]
1370 0.37628173828125006 [200.77131866] [0.42596134] [0.5849392]
1380 0.37902832031250006 [201.18358197] [0.40500816] [0.89332496]
1390 0.38177490234375006 [201.54539688] [0.49964385] [1.17222566]
1400 0.38452148437500006 [201.09867685] [0.40541389] [0.565483]
1410 0.38726806640625006 [200.61355837] [0.42715406] [0.47225375]
1420 0.39001464843750006 [200.05140594] [0.45773349] [0.98841041]
1430 0.39276123046875006 [200.01376757] [0.39811276] [0.91324212]
1440 0.39550781250000006 [200.23543193] [0.3909942] [0.42972562]
1450 0.39825439453125006 [200.64934499] [0.31890861] [0.5968321]
1460 0.40100097656250006 [201.39790593] [0.41855238] [1.0614114]
1470 0.40374755859375006 [201.16783154] [0.32317963] [0.71376149]
1480 0.40649414062500006 [200.93133603] [0.33969305] [0.34926171]
1490 0.40924072265625006 [200.32960602] [0.42552845] [0.7684013]
1500 0.41198730468750006 [200.19446419] [0.34617984] [1.02860292]
1510 0.41473388671875006 [200.42031398] [0.36408187] [0.62857743]
1520 0.41748046875000006 [200.8192775] [0.31278494] [0.45711107]
1530 0.42022705078125006 [201.4704188] [0.32723579] [0.89922188]
1540 0.42297363281250006 [201.8024455] [0.385784] [1.03598863]
1550 0.42572021484375006 [201.5418323] [0.33956981] [0.46363164]
1560 0.42846679687500006 [201.12476663] [0.39608596] [0.53454674]
1570 0.43121337890625006 [200.78527847] [0.39754754] [1.03347787]
1580 0.43395996093750006 [200.91589106] [0.3700947] [0.84567592]
1590 0.43670654296875006 [201.2519024] [0.35781446] [0.4186626]
1600 0.43945312500000006 [201.77438349] [0.30190288] [0.69811328]
1610 0.44219970703125006 [202.56827393] [0.45319435] [1.13798883]
1620 0.44494628906250006 [202.22224389] [0.31779794] [0.6133078]
1630 0.44769287109375006 [201.97126659] [0.33522551] [0.34620793]
1640 0.45043945312500006 [201.39679084] [0.42266281] [0.86107131]
1650 0.45318603515625006 [201.33452261] [0.33852812] [0.97912787]
1660 0.45593261718750006 [201.56725182] [0.35411191] [0.50957897]
1670 0.45867919921875006 [201.95811579] [0.28441081] [0.46935919]
1680 0.46142578125000006 [202.61706764] [0.33702418] [0.94571796]
1690 0.46417236328125006 [202.68988909] [0.32562098] [0.88383672]
1700 0.46691894531250006 [202.39293301] [0.31682249] [0.34545212]
1710 0.46966552734375006 [201.83698119] [0.39311623] [0.58524544]
1720 0.47241210937500006 [201.51934194] [0.34841204] [1.02334936]
1730 0.47515869140625006 [201.6215229] [0.34428854] [0.72164573]
1740 0.47790527343750006 [201.90375669] [0.31262697] [0.34096236]
1750 0.48065185546875006 [202.39390646] [0.27645995] [0.7513637]
1760 0.48339843750000006 [202.91149614] [0.43047754] [1.13196935]
1770 0.48614501953125006 [202.52008444] [0.29997341] [0.48797619]
1780 0.48889160156250006 [202.11182014] [0.3343508] [0.34598874]
1790 0.49163818359375006 [201.54576371] [0.39970823] [0.93329757]
1800 0.49438476562500006 [201.49108863] [0.33258091] [0.91771085]
1810 0.49713134765625006 [201.69222204] [0.34276674] [0.42207234]
1820 0.49987792968750006 [202.06434774] [0.27058185] [0.54863273]
1830 0.5026245117187501 [202.74434045] [0.37492525] [1.02673274]
1840 0.5053710937500001 [202.54819625] [0.29925443] [0.74953611]
1850 0.5081176757812501 [202.24003549] [0.31844046] [0.32031265]
1860 0.5108642578125001 [201.58787888] [0.40841818] [0.70755653]
1870 0.5136108398437501 [201.3398388] [0.33172608] [1.02001472]
1880 0.5163574218750001 [201.46513111] [0.3451568] [0.62513335]
1890 0.5191040039062501 [201.76159634] [0.29260856] [0.37205324]
1900 0.5218505859375001 [202.29821034] [0.28979865] [0.83698067]
1910 0.5245971679687501 [202.60451891] [0.37544672] [1.04623492]
1920 0.5273437500000001 [202.23784535] [0.30116799] [0.40249076]
1930 0.5300903320312501 [201.75005083] [0.35400984] [0.427345]
1940 0.5328369140625001 [201.28101109] [0.37241254] [0.9891819]
1950 0.5355834960937501 [201.29849796] [0.33189012] [0.83788851]
1960 0.5383300781250001 [201.53547972] [0.32602061] [0.35516515]
1970 0.5410766601562501 [201.95812113] [0.26017023] [0.63272803]
1980 0.5438232421875001 [202.72000684] [0.41574228] [1.09940157]
1990 0.5465698242187501 [202.29982025] [0.28709878] [0.61941656]
2000 0.5493164062500001 [202.01023454] [0.31310393] [0.30276739]
2010 0.5520629882812501 [201.33739005] [0.40967818] [0.81666589]
2020 0.5548095703125001 [201.18714752] [0.32387265] [0.98721536]
2030 0.5575561523437501 [201.35522773] [0.34416915] [0.52779735]
2040 0.5603027343750001 [201.68788211] [0.27770455] [0.4359457]
2050 0.5630493164062501 [202.28721807] [0.3190129] [0.9186164]
2060 0.5657958984375001 [202.3895675] [0.33043009] [0.92347719]
2070 0.5685424804687501 [202.05179746] [0.30919302] [0.35187083]
2080 0.5712890625000001 [201.49142914] [0.3810409] [0.54342181]
2090 0.5740356445312501 [201.12074169] [0.34949963] [1.01870964]
2100 0.5767822265625001 [201.19215738] [0.33670167] [0.75004955]
2110 0.5795288085937501 [201.45523154] [0.31016614] [0.33284515]
2120 0.5822753906250001 [201.92319844] [0.26263043] [0.71942401]
2130 0.5850219726562501 [202.50392696] [0.43426116] [1.13896139]
2140 0.5877685546875001 [202.10282223] [0.28703462] [0.512025]
2150 0.5905151367187501 [201.72521306] [0.31736122] [0.31585994]
2160 0.5932617187500001 [201.13716174] [0.3972012] [0.90434437]
2170 0.5960083007812501 [201.0675113] [0.3217549] [0.93526926]
2180 0.5987548828125001 [201.2703314] [0.33692626] [0.44023409]
2190 0.6015014648437501 [201.64263058] [0.26359888] [0.51325043]
2200 0.6042480468750001 [202.31270664] [0.3539488] [0.99595533]
2210 0.6069946289062501 [202.21059895] [0.29958058] [0.79208194]
2220 0.6097412109375001 [201.90912563] [0.31304426] [0.32044859]
2230 0.6124877929687501 [201.29463722] [0.40095606] [0.6628271]
2240 0.6152343750000001 [201.03155526] [0.33303837] [1.0222688]
2250 0.6179809570312501 [201.16112988] [0.34214378] [0.65675798]
2260 0.6207275390625001 [201.46607361] [0.29635876] [0.35254275]
2270 0.6234741210937501 [202.00115096] [0.28005531] [0.80457668]
2280 0.6262207031250001 [202.40102285] [0.39309569] [1.0802982]
2290 0.6289672851562501 [202.04416897] [0.29656911] [0.42661582]
2300 0.6317138671875001 [201.60418933] [0.34249774] [0.3888709]
2310 0.6344604492187501 [201.12040713] [0.37884674] [0.96998351]
2320 0.6372070312500001 [201.13545591] [0.32719887] [0.8657856]
2330 0.6399536132812501 [201.38266191] [0.32759968] [0.37113318]
2340 0.6427001953125001 [201.80981702] [0.25663961] [0.59893564]
2350 0.6454467773437501 [202.56438931] [0.39580583] [1.07106063]
2360 0.6481933593750001 [202.25162062] [0.28434809] [0.66310293]
2370 0.6509399414062501 [201.99167275] [0.31072637] [0.30408225]
2380 0.6536865234375001 [201.33566794] [0.40722705] [0.7771157]
2390 0.6564331054687501 [201.17439525] [0.32163189] [1.00026059]
2400 0.6591796875000001 [201.35046137] [0.34161458] [0.56069887]
2410 0.6619262695312501 [201.69173995] [0.2794026] [0.40796913]
2420 0.6646728515625001 [202.2887975] [0.30471098] [0.88809092]
2430 0.6674194335937501 [202.48711977] [0.34357068] [0.96972314]
2440 0.6701660156250001 [202.15854438] [0.30493957] [0.36576147]
2450 0.6729125976562501 [201.64231181] [0.370618] [0.49846649]
2460 0.6756591796875001 [201.25342458] [0.35658843] [1.01015813]
